"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 26 22:17:44 UTC 2025","Mon May 26 22:17:44 UTC 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_InactiveJustBelow60","testGetUserStatus_InactiveJustBelow60()",""
"passed","Mon May 26 22:17:44 UTC 2025","Mon May 26 22:17:44 UTC 2025","4","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_ServiceThrowsException","testGetUserLastSessionDate_ServiceThrowsException()",""
"passed","Mon May 26 22:17:44 UTC 2025","Mon May 26 22:17:44 UTC 2025","5","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_SingleSession","testGetUserLastSessionDate_SingleSession()",""
"passed","Mon May 26 22:17:41 UTC 2025","Mon May 26 22:17:41 UTC 2025","50","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterExistingUser","Регистрация пользователя с уже существующим userId",""
"passed","Mon May 26 22:17:41 UTC 2025","Mon May 26 22:17:41 UTC 2025","17","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionUserNotFound","Запись сессии для несуществующего пользователя",""
"passed","Mon May 26 22:17:44 UTC 2025","Mon May 26 22:17:44 UTC 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_MultipleSessions","testGetUserLastSessionDate_MultipleSessions()",""
"passed","Mon May 26 22:17:44 UTC 2025","Mon May 26 22:17:44 UTC 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_HighlyActiveAt120","testGetUserStatus_HighlyActiveAt120()",""
"passed","Mon May 26 22:17:43 UTC 2025","Mon May 26 22:17:43 UTC 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivityMissingParams","Месячная активность без одного из параметров (ошибка 400)",""
"passed","Mon May 26 22:17:44 UTC 2025","Mon May 26 22:17:44 UTC 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_ActiveAt60","testGetUserStatus_ActiveAt60()",""
"passed","Mon May 26 22:17:41 UTC 2025","Mon May 26 22:17:41 UTC 2025","35","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityMissingUserId","Попытка получить общее время без userId (ошибка 400)",""
